Secretaria_de_Atencao_Primaria_a_Saude_-_SAPS/MS_,Unnamed:_1,Unnamed:_2,Unnamed:_3,Unnamed:_4,Unnamed:_5,Unnamed:_6,Unnamed:_7,Unnamed:_8,Unnamed:_9
1,16,775,2994,6382,1,4475,3,0,1292
1,5,984,3441,18089,1,22778,3,0,1437
4,25,3228,3750,1725,1,28189,8,0,552
4,10,2101,315,20442,1,13239,3,0,546
4,25,3199,3556,2375,1,24938,3,0,592
4,10,2263,976,3442,1,26492,3,0,921
4,10,2142,298,3099,1,13395,3,0,929
1,9,451,811,8180,1,2711,3,0,799
0,6,4217,524,19478,1,21858,3,0,1165
1,9,547,2932,17369,0,22205,3,0,1237
1,14,1245,1846,14306,1,7819,3,0,619
1,16,797,3597,6347,1,4525,3,0,1079
1,9,423,317,8429,1,2522,3,0,621
5,17,3323,2009,10498,1,25359,3,0,1491
2,26,292,312,10099,1,2076,3,0,819
0,11,3893,2840,19050,1,20524,3,0,1225
1,5,842,235,13816,1,4995,3,0,1317
4,10,2423,1801,21178,1,14546,3,0,551
5,17,3292,1288,10507,1,18653,3,0,594
2,13,207,4047,5605,1,1558,3,0,573
1,5,980,3135,10261,1,6263,3,0,1368
0,11,3870,1466,20149,0,20428,3,0,579
1,19,1019,299,10163,1,6594,3,0,1215
2,13,141,140,5484,1,952,3,0,292
1,4,1774,651,15873,1,11518,3,0,1033
1,5,839,197,11103,1,4977,3,0,431
0,8,4210,3901,6152,1,21705,3,0,1443
4,10,2150,344,2398,1,13426,3,0,685
4,10,2730,3778,19599,1,15733,3,0,778
4,7,2791,3357,9635,1,28362,8,0,976
1,4,2093,3986,9213,1,13187,3,0,1009
1,4,1906,1844,7208,1,12265,3,0,880
0,11,3904,3396,17812,1,20577,3,0,534
2,2,92,2081,17131,1,28461,3,0,809
1,5,895,1497,17984,1,5493,3,0,452
4,25,2863,105,1651,1,16798,3,0,1426
5,23,3513,3278,7567,1,19289,3,0,589
2,13,141,140,5489,1,964,3,0,942
1,9,440,558,20602,1,2659,3,0,1437
5,17,3398,3891,10148,1,18984,3,0,1097
4,10,2586,2919,18921,1,15257,3,0,837
1,5,899,1535,11064,1,5525,3,0,1474
2,13,214,2618,280,1,31865,3,0,916
5,17,3294,1324,16092,1,18669,3,0,0
2,13,135,28,22686,1,31060,3,0,1351
0,12,3934,938,7120,1,20718,3,0,1223
4,18,2796,267,15305,1,16134,3,0,1092
2,13,237,3273,5546,1,23191,3,0,1059
1,5,899,1535,9410,1,5521,3,0,809
1,4,1774,651,6994,1,25474,3,0,1456
2,13,166,823,22779,1,24400,3,0,1162
2,2,82,1628,18461,1,26937,3,0,552
1,4,1784,724,19927,1,11595,3,0,861
1,15,1422,1278,18572,1,8802,3,0,1062
5,22,3741,2867,20953,1,24525,3,0,1251
1,15,1407,810,24806,1,27260,3,0,1464
1,5,990,3418,22460,1,23302,3,0,854
4,10,2683,3523,17530,1,32177,3,0,1146
0,6,4217,524,19479,1,21871,3,0,575
0,6,4217,524,15814,1,21766,3,0,774
1,19,1094,2629,17588,1,7070,3,0,901
4,10,2598,2993,773,1,27109,3,0,792
4,25,2944,1114,13772,1,17252,3,0,580
1,5,899,1535,9399,1,5515,3,0,1520
4,10,2438,1895,3074,1,31813,3,0,629
1,9,608,4020,8577,1,29280,3,0,530
1,15,1448,1771,11657,1,9022,3,0,543
2,2,92,2081,1348,1,533,3,0,1173
4,10,2209,748,2538,1,13657,3,0,963
4,10,2249,942,13520,1,13781,3,0,1297
1,16,609,17,6433,1,29965,3,0,1284
1,9,417,188,21018,1,2476,3,0,998
1,1,1577,1550,20617,1,10373,3,0,1154
1,4,1774,651,8593,1,11509,3,0,673
4,7,2791,3357,9162,1,28536,8,0,591
5,17,3381,3284,13577,1,18936,3,0,899
4,10,2269,995,3550,1,28250,8,0,1615
1,9,557,3193,15975,1,32042,3,0,1193
4,7,2790,3618,9140,1,16059,3,0,619
1,15,1491,2986,232,1,9633,3,0,922
1,15,1491,2986,14913,1,9681,3,0,596
2,13,142,142,17611,1,32014,3,0,828
4,10,2331,1310,2931,1,14116,3,0,228
1,9,458,917,21553,1,29879,3,0,1115
4,25,2944,1114,13779,1,17288,3,0,1409
1,4,1831,1285,22148,1,22842,3,0,1329
4,10,2314,1218,2603,0,14053,3,0,1604
1,5,911,1708,23239,1,23588,3,0,843
4,10,2651,3294,20669,1,15497,3,0,1201
0,8,4093,1392,19701,1,21315,3,0,1582
1,1,1624,2961,12786,1,10685,3,0,974
1,4,1725,167,16332,0,11242,3,0,1155
1,16,818,3769,19201,1,4789,3,0,1432
1,15,1428,1385,7799,1,8857,3,0,150
4,25,2885,285,1973,1,16884,3,0,1240
1,5,995,3751,11100,1,22624,3,0,581
4,10,2423,1801,2534,1,14530,3,0,1619
4,10,2150,344,2408,1,13435,3,0,96
4,25,3106,2696,17662,1,17801,3,0,1127
1,14,1340,3316,5788,1,8214,3,0,1186
1,5,1007,3993,21724,1,22095,3,0,1482
0,11,3896,3048,17155,1,31020,3,0,906
1,19,1145,3721,14199,1,23097,3,0,550
2,13,232,3197,20402,1,1732,3,0,1547
5,23,3413,225,11297,1,19030,3,0,1296
5,17,3367,3032,13571,1,18907,3,0,958
2,13,166,823,11205,1,1312,3,0,1574
1,5,926,2049,16319,1,5826,3,0,1448
4,18,2822,2369,20981,1,16436,3,0,568
1,9,487,1570,5724,1,2942,3,0,1234
1,4,1979,2602,14516,1,12616,3,0,1160
2,13,169,946,15571,1,1339,3,0,1105
4,10,2577,2819,13482,1,15197,3,0,544
4,25,2876,217,20111,1,16842,3,0,782
4,25,3191,3454,1743,1,18088,3,0,590
5,22,3671,1634,3902,1,19676,3,0,845
4,18,2830,2741,4448,1,16558,3,0,1005
4,18,2799,374,4541,1,27900,8,0,1064
4,10,2447,1973,23478,0,25261,3,0,1664
1,5,829,14,9750,1,22655,3,0,1025
1,5,910,1694,15554,1,5628,3,0,1226
0,12,3958,2385,7078,1,20832,3,0,1500
4,25,2944,1114,13767,1,17231,3,0,1481
0,12,3934,938,16107,1,20719,3,0,567
1,4,2005,2973,21450,1,12773,3,0,910
4,25,3070,2373,2011,1,30100,3,0,634
1,1,1601,2332,1217,1,10563,3,0,1358
1,19,1028,616,22886,1,6639,3,0,1103
1,5,840,228,23825,0,26876,3,0,792
1,15,1491,2986,169,1,9547,3,0,801
1,4,2000,2925,22602,1,23701,3,0,585
2,13,169,946,5506,1,1336,3,0,617
1,5,1000,3862,14826,1,6496,3,0,795
4,25,2885,285,2168,1,16888,3,0,1000
4,10,2619,3122,16086,1,25773,3,0,1521
4,10,2251,951,18938,0,13790,3,0,543
1,16,818,3769,7346,1,4657,3,0,1041
1,16,818,3769,21035,1,4818,3,0,1040
4,10,2409,1706,3773,1,30506,8,0,538
5,22,3738,2824,3911,1,19840,3,0,877
4,10,2372,1521,3162,1,14251,3,0,1594
1,15,1491,2986,19827,1,9746,3,0,850
2,26,288,208,22759,1,31259,3,0,615
5,17,3354,2814,13074,0,18857,3,0,1428
2,13,214,2618,23437,1,25333,3,0,731
0,11,3887,2390,9098,1,20494,3,0,551
4,25,2931,931,2309,1,17172,3,0,990
1,4,1872,1648,12265,1,12089,3,0,954
1,14,1311,3167,6143,1,8113,3,0,1437
4,25,3044,2152,15165,1,17677,3,0,902
2,2,116,3906,14120,1,834,3,0,1530
2,13,141,140,11191,1,23752,3,0,761
4,25,3021,1825,23641,1,25329,3,0,1241
2,26,400,2565,8607,1,22520,3,0,2
1,5,829,14,15782,1,4884,3,0,1042
1,4,1742,365,19300,1,11332,3,0,1350
1,1,1553,517,12752,1,10240,3,0,627
1,9,420,214,20522,1,2497,3,0,825
1,4,1983,2672,9867,1,12635,3,0,856
1,5,950,2541,12971,1,6059,3,0,1350
1,15,1534,3844,12491,1,10053,3,0,563
1,5,891,1446,5431,1,5456,3,0,618
0,8,4039,410,6181,1,21167,3,0,370
